no,part_no,sparepart,stok,jumlah_terjual,harga,kategori_sparepart,klasifikasi
294,54410-56B60-000,"CABLE COMP,PARKING BRAKE,R",sedang,rendah,mahal,critical,tidak laris
295,12610-61G00-000,"PULLEY,CRANKSHAFT",sedang,rendah,mahal,critical,tidak laris
296,46200-50830-000,"ARM SET,REAR SUSPENSION",sedang,rendah,mahal,critical,tidak laris
297,11710-62G00-000,"MOUNTING COMP,ENGINE,RR",dikit,rendah,mahal,critical,laris
298,17561-63B01-000,"CAP,WATER THERMOSTAT",sedang,tinggi,murah,slow,laris
299,11349-60A01-000,"GASKET,OIL SEAL HOUSING",sedang,rendah,murah,critical,tidak laris
300,29610-82C01-000,"MOUNTING,T/F",sedang,rendah,murah,critical,tidak laris
301,23800-70810-000,PISTON & CUP SET,dikit,rendah,murah,critical,tidak laris
302,09283-44011-000,"SEAL,OIL,44X62X8",banyak,tinggi,murah,fast,laris
303,26130-60G00-000,"GEAR COMP,SPEEDOMETER DRIVEN",sedang,rendah,mahal,critical,tidak laris
304,43420-50820-000,"HUB SET,FRONT WHEEL",dikit,rendah,mahal,critical,laris
305,45200-60830-000,"ARM SET,FR SPNSN RH",dikit,rendah,mahal,critical,laris
306,72121-77501-27N,"GARNISH, HEAD LAMP LH",dikit,rendah,mahal,slow,tidak laris
307,26131-77510-000,"GEAR,SPEEDOMETER DRIVEN",sedang,tinggi,murah,critical,laris
308,55840-64G00-000,PISTON/SEAL SET,dikit,rendah,murah,critical,tidak laris
309,35121-77502-27N,"UNIT,HEADLAMP,RH",dikit,rendah,mahal,critical,laris
310,35321-77502-27N,"UNIT,HEADLAMP,LH",dikit,rendah,mahal,critical,laris
311,38720-75F30-000,"CONTROLLER ASSY,POWER STRG",dikit,rendah,mahal,critical,laris
312,11710-75F00-000,"MOUNTING,ENGINE RR",sedang,tinggi,murah,critical,laris
313,11875-54E00-000,"MOUNTING,T/M",sedang,tinggi,murah,critical,laris
314,15110-75FS0-000,PUMP/FILTER ASSY,dikit,rendah,mahal,critical,laris
315,17561-60B61-000,"CAP,WATER THERMOSTAT",banyak,rendah,murah,slow,tidak laris
316,24240-64B00-000,GEAR INPUT SHAFT 4TH,sedang,tinggi,mahal,critical,laris
317,39250-70B40-000,ANTENNA ASSY,sedang,tinggi,mahal,slow,tidak laris
318,41741-50E00-000,"BEARING,FRONT STRUT",banyak,tinggi,murah,critical,laris
319,48810-76G00-000,"END COMP,STEERING TIE-ROD",sedang,tinggi,mahal,critical,laris
320,52241-84010-000,"PIN,SHOE HOLD DOWN",sedang,tinggi,murah,critical,laris
321,52400-84811-000,PISTON CUP&BOOT SET,dikit,rendah,mahal,critical,laris
322,55192-75F00-000,"PIN,CYLINDER SLIDE,NO.2",banyak,rendah,murah,critical,tidak laris
323,77191-50G00-000,SPRING FUEL INLET LID,sedang,tinggi,murah,critical,laris
324,78163-50E00-000,END ROOF MOLDING RR L,sedang,tinggi,murah,slow,laris
325,84611-75F00-000,MOLDING WINDSHIELD,dikit,rendah,mahal,slow,tidak laris
326,17852-60G10-000,"HOSE,RADIATOR,INLET",banyak,tinggi,murah,fast,laris
327,33220-50G02-000,"SENSOR ASSY,CAM POSITION",sedang,tinggi,mahal,critical,laris
328,72311-65G00-000,"LINNING,FRONT FENDER,R",dikit,rendah,mahal,slow,tidak laris
329,72316-65G00-000,"LINNING,FRONT FENDER L",sedang,rendah,mahal,slow,tidak laris
330,14182-64B03-000,"GASKET,EXH PIPE",sedang,tinggi,murah,critical,laris
331,36210-50E61-6GS,"LAMP ASSY,ROOM(GRAY)",banyak,rendah,mahal,slow,tidak laris
332,09448-21005-000,SPRING,sedang,tinggi,murah,critical,laris
333,17700-77E20-000,RADIATOR ASSY,dikit,rendah,mahal,critical,laris
334,27431-60G10-000,"SEAL ,DIFF SIDE OIL",banyak,tinggi,murah,fast,laris
335,27441-60G10-000,"SEAL ,DIFF SIDE R",banyak,tinggi,murah,fast,laris
336,72831-65D10-000,"BRACKET,SPARE TIRE COVER",banyak,tinggi,murah,slow,laris
337,35650-65D10-000,"LAMP UNIT,RR COMB,RH",dikit,rendah,mahal,slow,tidak laris
338,35670-65D10-000,"LAMP UNIT,RR COMB,LH",dikit,rendah,mahal,slow,tidak laris
339,49114-64G10-000,SEAL SET,sedang,tinggi,murah,fast,laris
340,09159-12057-000,NUT,banyak,tinggi,murah,fast,laris
341,09280-34005-000,"O RING,D:3.5,ID:33.7",banyak,tinggi,murah,fast,laris
342,09283-28014-000,"SEAL,OIL,28X50X8",banyak,rendah,murah,fast,tidak laris
343,09283-98002-000,"SEAL,OIL,98X116X10",banyak,tinggi,murah,fast,laris
344,11146-85FA1-000,"BOLT,CYLINDER HEAD",banyak,rendah,murah,critical,tidak laris
345,11188-85FA0-000,"WASHER,CYL HEAD COVER SEAL",banyak,tinggi,murah,critical,laris
346,11189-77E00-000,"GASKET,CYLINDER HEAD COVER",sedang,tinggi,murah,critical,laris
347,11610-65D00-000,"MOUNTING,ENGINE,FRONT",sedang,tinggi,mahal,critical,laris
348,12140-86FA0-050,"RING SET,PISTON,OS:0.50",sedang,tinggi,mahal,critical,laris
349,12615-85FA0-000,"BOLT,CRANKSHAFT PULLEY",sedang,tinggi,murah,critical,laris
350,12631-77E00-000,"SPROCKET,CRANKSHAFT TIMING",sedang,tinggi,murah,critical,laris
351,12741-77E00-000,"SPROCKET,CAMSHAFT TIMING",sedang,rendah,murah,critical,tidak laris
352,12762-77E00-000,"CHAIN COMP,TIMING,2ND",banyak,rendah,murah,critical,tidak laris
353,12771-77E00-000,"GUIDE,TIMING CHAIN,NO.1",banyak,tinggi,murah,critical,laris
354,12811-77E00-000,"TENSIONER,TIMING CHAIN",banyak,tinggi,mahal,critical,laris
355,12835-77E00-000,"GASKET,TENSIONER ADJ,NO,2",sedang,tinggi,murah,critical,laris
356,15910-60A03-000,"CABLE ASSY,ACCEL(RH)",sedang,rendah,murah,critical,tidak laris
357,16100-65D00-000,"PUMP ASSY,OIL",sedang,rendah,mahal,critical,tidak laris
358,16760-77E01-000,"CHAIN,OIL PUMP DRIVE",banyak,tinggi,mahal,critical,laris
359,17110-65D00-000,"FAN,ENGINE COOLING",banyak,tinggi,mahal,critical,laris
360,17511-77E00-000,"PULLEY,WATER PUMP",sedang,tinggi,murah,critical,laris
361,17530-77E00-000,"PULLEY,GEN BELT IDLER",dikit,rendah,mahal,critical,laris
362,17579-77EA0-000,"GASKET,WTR OUTLET CAP",sedang,rendah,murah,critical,tidak laris
363,17590-77EA1-000,"PIPE,WATER BYPASS",banyak,tinggi,murah,fast,laris
364,17761-77EA0-000,"SHROUD,FAN",sedang,tinggi,mahal,critical,laris
365,17841-77EA0-000,"HOSE,RADIATOR,INLET",banyak,tinggi,murah,fast,laris
366,17851-77EA0-000,"HOSE,RADIATOR,OUTLET",banyak,tinggi,murah,fast,laris
367,17859-77EA1-000,"HOSE,WATER BYPASS",banyak,tinggi,murah,fast,laris
368,17871-65D00-000,"HOSE,HEATER INLET",banyak,tinggi,murah,fast,laris
369,17880-77EA2-000,"PIPE,HTR OUTLET",banyak,tinggi,mahal,fast,tidak laris
370,36232-65D00-000,"LENS,SPOT LAMP",sedang,tinggi,mahal,slow,tidak laris
371,37990-65D20-T01,"SWITCH ASSY,POWER WINDOW,MA",dikit,rendah,mahal,slow,tidak laris
372,38330-65D10-000,"ARM ASSY,WIPER,LH",sedang,tinggi,mahal,slow,tidak laris
373,41601-65D10-000,"STRUT ASSY,FRONT SUSPENSION,R",sedang,rendah,mahal,critical,tidak laris
374,41602-65D10-000,"STRUT ASSY,FRONT SUSPENSION,L",sedang,rendah,mahal,critical,tidak laris
375,43485-65D00-000,"RING,RR WHEEL BRG RETAINER",sedang,rendah,murah,critical,tidak laris
376,45261-65D01-000,"BUSHING,SPNSN ARM,FRONT",banyak,tinggi,murah,critical,laris
377,46300-65D00-000,"ROD ASSY,RR SPNSN,LATERAL",sedang,tinggi,mahal,critical,laris
378,48575-65D00-000,"WIRE,RACK BOOT",banyak,tinggi,murah,fast,laris
379,53231-65D00-000,"SPRING,SHOE RETURN,LOWER",sedang,tinggi,murah,critical,laris
380,53243-65D00-000,"SPRING,SHOE HOLD DOWN",sedang,rendah,murah,critical,tidak laris
381,53331-65D00-000,"SPRING,SHOE RETURN,UPPER",sedang,tinggi,murah,critical,laris
382,53792-52D00-000,"SPRING,ANTIRATTLE,L",sedang,tinggi,murah,critical,laris
383,53824-65D00-000,"SPRING,ADJUSTER",banyak,tinggi,murah,critical,laris
384,55234-77E00-000,"LINER,PAD",sedang,rendah,murah,slow,tidak laris
385,72112-65D10-0PG,GARNISH FR GRILLE UPPER(CHROME),sedang,rendah,mahal,slow,tidak laris
386,72481-65D10-000,"LINING,FRONT FENDER R",sedang,rendah,mahal,slow,tidak laris
387,72482-65D10-000,LINING FRONT FENDER L,dikit,tinggi,mahal,slow,tidak laris
388,73430-60870-T01,LOCK GLOVE BOX,dikit,tinggi,mahal,slow,tidak laris
389,75521-65D10-000,"LINING, REAR WHEEL HSG, R",sedang,rendah,mahal,slow,tidak laris
390,75531-65DA0-000,"LINING, REAR WHEEL HOUSING, LH",sedang,rendah,mahal,slow,tidak laris
391,77312-65D00-000,"WEATHERSTRIP, COWL TOP",sedang,tinggi,murah,slow,laris
392,77541-65D00-5PK,"MOLDING, ROOF DRIP, R",sedang,rendah,mahal,slow,tidak laris
393,77553-65D10-000,"CLIP, SPLASH GUARD",sedang,tinggi,murah,slow,laris
394,78226-65D01-1YW,"CAP,ROOF RAIL FR L",banyak,tinggi,mahal,slow,tidak laris
395,83660-65D00-000,"RUN COMP, FR DOOR GLASS, R",sedang,rendah,mahal,slow,tidak laris
396,83680-65D00-000,"RUN COMP, FR DOOR GLASS, L",sedang,rendah,mahal,slow,tidak laris
397,83810-65D00-000,"WEATHERSTRIP COMP, FR DR OUT, R",sedang,tinggi,mahal,slow,tidak laris
398,83820-65D00-000,"WEATHERSTRIP COMP, FR DR OUT, L",sedang,rendah,mahal,slow,tidak laris
399,83830-65D00-000,"WEATHERSTRIP COMP, RR DR OUT, R",banyak,rendah,mahal,slow,tidak laris
400,83840-65D00-000,"WEATHERSTRIP COMP, RR DR OUT, L",sedang,tinggi,mahal,slow,tidak laris
401,84611-65D00-5PK,MOLDING WINDSHIELD,sedang,rendah,mahal,slow,tidak laris
402,89311-65DA0-000,"PROTECTOR,FILLER HOSE",sedang,rendah,mahal,slow,tidak laris
403,33278-77E10-000,O RING,banyak,tinggi,murah,fast,laris
404,43420-77810-000,"HUB SET,FRONT WHEEL",dikit,rendah,mahal,critical,laris
405,11710-77E11-000,"MOUNTING,ENG,RR",sedang,tinggi,mahal,critical,laris
406,24971-57B00-000,"KEY,WOODRUFF",dikit,rendah,murah,slow,tidak laris
407,29799-54D10-000,"SEAL,OIL PUMP BODY",banyak,tinggi,murah,fast,laris
408,12631-86510-000,"PULLEY,CRANK TIMING BELT",sedang,tinggi,murah,critical,laris
409,56451-65D00-000,"RING,REAR WHEEL SENSOR",sedang,tinggi,murah,critical,laris
410,71711-65D00-799,BUMPER FRT,dikit,rendah,mahal,slow,tidak laris
411,36210-60G01-6GS,"LAMP ASSY,ROOM(GRAY)",banyak,tinggi,mahal,slow,tidak laris
412,41710-54G10-000,"SUPPORT COMP,FRONT STRUT",dikit,tinggi,mahal,critical,laris
413,77811-75F01-0PG,EMBLEM S MARK,sedang,rendah,murah,slow,tidak laris
414,77811-60G01-0PG,EMBLEM S MARK,sedang,rendah,murah,slow,tidak laris
415,13780-75F00-000,"ELEMENT,AIR CLEANER",banyak,tinggi,murah,fast,laris
416,11710-80011-000,"MOUNTING,ENG RR",banyak,tinggi,murah,critical,laris
417,12151-60D00-000,"PIN,PISTON",sedang,tinggi,murah,critical,laris
418,48534-50F00-000,"PLUNGER,STEERING RACK",sedang,tinggi,murah,critical,laris
419,44220-73AV0-000,"SHAFT ASSY,REAR AXLE,L",dikit,rendah,mahal,critical,laris
420,42412-65D00-000,"BUSHING,STAB BAR MOUNT",sedang,rendah,murah,critical,tidak laris
421,55201-56B01-000,"BOOT,PIN",sedang,rendah,murah,critical,tidak laris
422,11402-61872-000,"GASKET SET,ENGINE",dikit,rendah,mahal,critical,laris
423,35120-54G10-000,"UNIT,HEADLAMP,R",dikit,rendah,mahal,critical,laris
424,35320-54G10-000,"UNIT,HEADLAMP,L",sedang,rendah,mahal,critical,tidak laris
425,35650-54G00-000,"LAMP UNIT,RR COMB,R",dikit,rendah,mahal,slow,tidak laris
426,35670-54G00-000,"LAMP UNIT,RR COMB,L",dikit,rendah,mahal,slow,tidak laris
427,71711-54G00-799,BUMPER FRONT,dikit,rendah,mahal,slow,tidak laris
428,71811-54G00-799,BUMPER REAR,dikit,rendah,mahal,slow,tidak laris
429,83401-54G20-000,REGULATOR ASSY FR W/D R,sedang,rendah,mahal,critical,tidak laris
430,44210-73AV0-000,"SHAFT ASSY,REAR AXLE,R",dikit,rendah,mahal,critical,laris
431,17559-73010-000,"GASKET,WATER INLET",sedang,tinggi,murah,critical,laris
432,27431-73H30-000,SEAL OIL,banyak,tinggi,murah,fast,laris
433,83811-54G00-000,WEATHERSTRIP FR DOOR RH,sedang,tinggi,mahal,slow,tidak laris
434,11710-65G50-000,"MOUNTING,ENGINE RR",dikit,rendah,mahal,critical,laris
435,12140-54G00-000,"RING SET,PISTON(STD)",sedang,tinggi,mahal,critical,laris
436,12221-69GA0-000,CRANKSHAFT,dikit,rendah,mahal,critical,laris
437,83821-54G00-000,WEATHERSTRIP FR DOOR LH,sedang,rendah,mahal,slow,tidak laris
438,09283-83001-000,"SEAL,OIL,83X103X8",banyak,tinggi,murah,fast,laris
439,37990-54G11-P4Z,"SWITCH ASSY,P/W MAIN(GRAY)",dikit,rendah,mahal,slow,tidak laris
440,45540-54G00-000,"BUSHING,SPNSN ARM,REAR",banyak,tinggi,murah,critical,laris
441,77811-54G10-GB2,EMBLEM MARK S,sedang,rendah,murah,slow,tidak laris
442,77821-54G00-0PG,EMBLEM AERIO (CHROME),dikit,rendah,murah,slow,tidak laris
443,09112-08004-000,"BOLT,8X25",sedang,rendah,murah,critical,tidak laris
444,11620-54G11-000,"MOUNTING,ENGINE LH",sedang,tinggi,mahal,critical,laris
445,12610-69G00-000,"PULLEY COMP,CRANKSHAFT",sedang,tinggi,mahal,critical,laris
446,48526-54G00-000,"MOUNT,STEERING RACK SIDE",sedang,rendah,murah,critical,tidak laris
447,48830-54G00-000,"TIE-ROD COMP,STEERING",sedang,rendah,mahal,critical,tidak laris
448,49140-54G00-000,"TANK ASSY,POWER STEERING",sedang,tinggi,mahal,critical,laris
449,49222-54G70-000,"HOSE,SUCTION",sedang,tinggi,murah,fast,laris
450,49223-54G10-000,"HOSE,RETURN GEAR SIDE",sedang,rendah,mahal,fast,tidak laris
451,84512-54G00-000,MOLDINGWINDSHIELD,sedang,tinggi,mahal,slow,tidak laris
452,38480-54G00-000,"NOZZLE,WASHER",banyak,tinggi,murah,fast,laris
453,56210-54G00-000,"SENSOR COMP,FR WHEEL,R",sedang,tinggi,mahal,critical,laris
454,56310-54G00-000,"SENSOR,RR WHEEL,R",sedang,tinggi,mahal,critical,laris
455,64850-55G00-000,"DOOR COMP, FUEL FILLER",sedang,tinggi,murah,slow,laris
456,09471-12195-000,"BULB,12V5W",banyak,tinggi,murah,fast,laris
457,17581-69G00-000,"CAP,WATER OUTLET",dikit,rendah,murah,slow,tidak laris
458,23260-75C01-000,"SHAFT COMP,CLUTCH RELEASE",banyak,rendah,murah,critical,tidak laris
459,26543-55GT0-000,"PISTON SET,C-2 ACCUMULATOR",sedang,tinggi,murah,critical,laris
460,27831-54G00-000,BEARING DRIVE INTERMEDIATE,sedang,tinggi,mahal,critical,laris
461,35118-76F00-000,"SOCKET,POSITION LAMP",banyak,tinggi,murah,fast,laris
462,37111-54G00-000,SWITCH ASSY,sedang,rendah,mahal,slow,tidak laris
463,37670-76G00-000,"SWITCH ASSY,DOOR",sedang,tinggi,murah,slow,laris
464,55191-78A00-000,"PIN,CYLINDER SLIDE",sedang,tinggi,murah,critical,laris
465,72381-54G02-000,COVER ENGINE UNDER R,banyak,tinggi,murah,slow,laris
466,72382-54G11-000,COVER ENGINE UNDER L,sedang,tinggi,murah,slow,laris
467,83831-54G00-000,WEASTHERSTRIP RR DOOR OUTER R,sedang,rendah,mahal,slow,tidak laris
468,83841-54G00-000,WEATHERSTRIP RR DOOR OUTER L,sedang,tinggi,mahal,slow,tidak laris
469,65100-57820-000,PANEL SET ROOF,dikit,rendah,mahal,slow,tidak laris
470,58410-65D10-000,"HINGE COMP,FRONT HOOD,R",banyak,tinggi,mahal,slow,tidak laris
471,11100-52G01-000,"HEAD ASSY,CYLINDER",dikit,rendah,mahal,critical,laris
472,71711-65DD1-799,BUMPER FR (PRIMARY),dikit,rendah,mahal,slow,tidak laris
473,11141-86FA1-000,"GASKET,CYLINDER HEAD RH",dikit,rendah,mahal,critical,laris
474,11142-86FA1-000,"GASKET,CYLINDER HEAD LH",sedang,rendah,mahal,critical,tidak laris
475,78132-54G00-5PK,CAP FRT MOLDING,sedang,tinggi,murah,slow,laris
476,12631-67D00-000,"SPROCKET,CRANKSHAFT TIMING",sedang,tinggi,mahal,critical,laris
477,12632-67D00-000,"SPROCKET,OIL PUMP DRIVE",sedang,rendah,murah,critical,tidak laris
478,12742-85FA0-000,"SPROCKET,CAMSHAFT TIMING,LH",dikit,rendah,mahal,critical,laris
479,12745-85FA0-000,"SPROCKET COMP,IDLER,NO.1",sedang,rendah,mahal,critical,tidak laris
480,12762-85FA0-000,"CHAIN COMP,TIMING 2ND,RH",sedang,tinggi,mahal,critical,laris
481,12774-85FA1-000,"GUIDE,TIMING CHAIN,NO.4",sedang,tinggi,murah,critical,laris
482,13119-77E00-000,"GASKET,INTAKE MANIFOLD",banyak,rendah,murah,critical,tidak laris
483,13122-67D00-000,"GASKET,COLLECTOR",dikit,rendah,murah,critical,tidak laris
484,13421-77E00-000,"GASKET,THROTTLE BODY",sedang,tinggi,murah,critical,laris
485,16760-85FA0-000,"CHAIN COMP,OIL PUMP DRIVE",sedang,tinggi,murah,critical,laris
486,17858-77E00-000,"HOSE,WATER HEAD,L",banyak,tinggi,murah,fast,laris
487,17871-67D20-000,"HOSE,HEATER INLET",banyak,tinggi,murah,fast,laris
488,18134-67D00-000,"GASKET,IAC VALVE",sedang,rendah,murah,critical,tidak laris
489,22860-57BT0-000,"RING SET,O/P SEAL",sedang,rendah,mahal,critical,tidak laris
490,22931-52D10-000,"HOSE,OIL",banyak,tinggi,murah,fast,laris
491,24114-65DU0-000,"DISK SET,O/D BRAKE",dikit,rendah,mahal,critical,laris
492,24751-67D11-000,"CABLE ASSY,THROTTLE",sedang,rendah,mahal,critical,tidak laris
493,24771-65D00-000,"HOSE,BREATHER T/M",banyak,tinggi,murah,fast,laris
494,26522-52D10-000,"PLATE,SEPARATOR",sedang,rendah,mahal,critical,tidak laris
495,26587-57B00-000,"GASKET,LWR VALVE BODY PLATE",sedang,tinggi,murah,critical,laris
496,26591-57B00-000,"SOLENOID,T/M NO.1",dikit,rendah,mahal,critical,laris
497,26632-57BT1-000,"O-RING SET,DIRECT CL",banyak,tinggi,murah,fast,laris
498,29731-57BT0-000,"O-RING,FORWARD CL ACC PSTN",banyak,tinggi,murah,fast,laris
499,29742-65DT0-000,"O-RING SET,B2 BRAKE PISTON",banyak,tinggi,murah,fast,laris
500,29743-65DT0-000,"O-RING SET,B1 BRAKE PISTON",banyak,tinggi,murah,fast,laris
501,42110-52D00-000,"STOPPER,BUMP",banyak,rendah,murah,slow,tidak laris
502,43592-52D00-000,"SEAL,RR SHAFT OIL,INNER",banyak,tinggi,murah,fast,laris
503,49100-52D00-000,"PUMP ASSY,POWER STEERING",dikit,rendah,mahal,critical,laris
504,36210-60G01-R8H,"LAMP ASSY,ROOM",sedang,tinggi,mahal,slow,tidak laris
505,36717-50J00-000,"COVER,FUSE BOX",banyak,tinggi,murah,slow,laris
506,38410-65D00-000,"PUMP ASSY,WASHER FRONT",sedang,tinggi,mahal,critical,laris
507,38610-84F21-000,"RELAY,TURN SIGNAL",sedang,rendah,mahal,critical,tidak laris
508,49225-65D10-000,"CLAMP,RETURN GEAR SIDE",sedang,rendah,murah,slow,tidak laris
509,53711-52D00-000,"LINK ASSY,R",sedang,tinggi,murah,critical,laris
510,56310-52D00-000,"SENSOR,RR WHEEL",dikit,rendah,mahal,critical,laris
511,73430-50810-R8H,"LOCK ASSY,GLOVE BOX",sedang,rendah,mahal,slow,tidak laris
512,76411-50E00-R8H,GRIP ASSISTANT,sedang,rendah,murah,slow,tidak laris
513,77842-65DA1-0PG,DECAL V6,banyak,rendah,murah,slow,tidak laris
514,82850-65D00-5PK,HANDLE BACK DOOR OUTER,sedang,rendah,murah,slow,tidak laris
515,12610-77E12-000,"PULLEY,CRANKSHAFT",dikit,rendah,mahal,critical,laris
516,12630-57B01-000,"PULLEY,CRANK TIMING BELT",sedang,rendah,murah,critical,tidak laris
517,53200-76G31-000,"SHOE SET,BRAKE",sedang,tinggi,mahal,critical,laris
518,13881-66D00-000,"HOSE,AIR CLEANER,OUTLET",sedang,rendah,mahal,fast,tidak laris
519,17550-66D00-000,"PIPE,WATER INLET",sedang,rendah,mahal,fast,tidak laris
520,17841-66D00-000,"HOSE,RADIATOR INLET",banyak,tinggi,murah,fast,laris
521,17851-66D00-000,"HOSE,RADIATOR OUTLET",banyak,tinggi,murah,fast,laris
522,28136-65D01-000,BOOT GEAR SHT CONT LEVER NO.2,banyak,rendah,murah,slow,tidak laris
523,49230-65D00-000,"HOSE,PRESSURE,PUMP SIDE",sedang,rendah,mahal,fast,tidak laris
524,71811-55G01-799,RR BUMPER (PRIMARY),dikit,rendah,mahal,slow,tidak laris
525,73821-50J00-ZS4,GARNISH I/P CENTRE,sedang,tinggi,mahal,slow,tidak laris
526,11400-65851-000,"GASKET SET,ENGINE",sedang,tinggi,mahal,critical,laris
527,38451-54G01-000,"CAP ASSY,TANK",sedang,rendah,murah,slow,tidak laris
528,12761-77E11-000,"CHAIN,TIMING 1ST",sedang,tinggi,mahal,critical,laris
529,09283-45012-000,"SEAL,OIL,45X63X7.5",banyak,tinggi,murah,fast,laris
530,23211-85F01-000,"FORK,CLUTCH RELEASE",banyak,rendah,murah,critical,tidak laris
531,23850-67D01-000,"HOSE COMP,CLUTCH OIL",banyak,tinggi,mahal,fast,tidak laris
532,37990-75F21-T01,"SWITCH ASSY,P/W MAIN(GRAY)",dikit,rendah,mahal,slow,tidak laris
533,71700-56811-5PK,BUMPER SET FR (BLK),dikit,rendah,mahal,slow,tidak laris
534,09460-01028-000,CLIP,sedang,tinggi,murah,slow,laris
535,09460-01029-000,CLIP,sedang,tinggi,murah,slow,laris
536,39312-78A00-000,"WIRE,NOISE SUUPPR",dikit,rendah,murah,slow,tidak laris
537,45313-77A01-000,"WASHER,COMPRESSION ROD",dikit,rendah,murah,critical,tidak laris
538,11100-65G03-000,"HEAD ASSY,CYLINDER",dikit,rendah,mahal,critical,laris
539,42451-76G00-000,"BUSHING,STABILIZER BAR",banyak,rendah,murah,critical,tidak laris
540,11402-61862-000,"GASKET SET,ENGINE",dikit,rendah,mahal,critical,laris
541,11810-76A00-000,"MOUNTING COMP,REAR",dikit,rendah,mahal,critical,laris
542,12140-63E50-000,"RING SET,PISTON",sedang,tinggi,mahal,critical,laris
543,12140-63E50-050,"RING SET,PISTON,OS:0.50",sedang,tinggi,mahal,critical,laris
544,13880-76A30-000,"HOSE ASSY,AIR CLEANER OUTLET",banyak,tinggi,murah,fast,laris
545,17877-77A01-000,"HOSE,HEATER RETURN",banyak,tinggi,murah,fast,laris
546,14183-75FC0-000,"RING,EXHAUST PIPE SEAL",sedang,tinggi,murah,critical,laris
547,83830-77A00-000,WEATHERSTRIP RR DR OUT,banyak,rendah,mahal,slow,tidak laris
548,84611-79A01-000,MOLDING WINDSHIELD,sedang,tinggi,mahal,slow,tidak laris
549,72382-54G01-000,"COVER, ENGINE UNDER",banyak,tinggi,murah,slow,laris
550,11620-54G02-000,"MOUNTING,ENG LH",sedang,rendah,mahal,critical,tidak laris
551,46300-59J00-000,"ROD ASSY,REAR CONTROL",sedang,tinggi,mahal,critical,laris
552,11630-60H00-000,"MOUNTING COMP,FR R",dikit,rendah,mahal,critical,laris
553,65730-80016-000,"PANEL,BODY SIDE UPPER",sedang,tinggi,mahal,slow,tidak laris
554,23266-61J01-000,"ARM,CLUTCH RELEASE",banyak,tinggi,murah,critical,laris
555,37990-61J00-R8H,"SWITCH ASSY,P/W MAIN(BEIGE)",dikit,rendah,mahal,slow,tidak laris
556,38315-74G00-000,"COVER,RR WIPER HEAD",sedang,tinggi,murah,slow,laris
557,23260-77501-000,"SHAFT,CLUTCH RELEASE",sedang,tinggi,murah,critical,laris
558,14120-83003-000,"COVER,EXH MANF,UPPER",sedang,tinggi,mahal,slow,tidak laris
559,35650-54G10-000,"LAMP UNIT,RR COMB RH",dikit,rendah,mahal,slow,tidak laris
560,35670-54G10-000,"LAMP UNIT,RR COMB LH",dikit,rendah,mahal,slow,tidak laris
561,72111-82CA0-38B,GRILLE FRONT,sedang,rendah,mahal,slow,tidak laris
562,33321-80C10-000,"CAP,DISTRIBUTOR",sedang,tinggi,murah,slow,laris
563,22400-64G80-000,"DISC,CLUTCH",sedang,rendah,mahal,critical,tidak laris
564,37400-70GC3-000,"SWITCH ASSY,COMB",sedang,rendah,mahal,slow,tidak laris
565,48550-70B10-000,"PINION,STEERING",dikit,tinggi,mahal,critical,laris
566,48550-75F60-000,"PINION,STEERING,R",dikit,rendah,mahal,critical,laris
567,17580-65D11-000,"PIPE,WATER OUTLET",banyak,tinggi,murah,fast,laris
568,12100-85824-0A0,"BEARING SET,CONNROD",dikit,rendah,murah,critical,tidak laris
569,49130-61J00-000,"BRACKET COMP,PUMP MOUNT",dikit,rendah,mahal,slow,tidak laris
570,38310-82C50-000,"ARM ASSY,WIPER,R",sedang,rendah,murah,slow,tidak laris
571,38102-50C01-000,"LINK ASSY,WIPER",sedang,rendah,mahal,critical,tidak laris
572,12100-54812-050,"PISTON SET,OS:0.50",dikit,rendah,mahal,critical,laris
573,14140-65D02-000,"GASKET,EXHAUST MANIFOLD",dikit,rendah,murah,critical,tidak laris
574,12100-54812-000,"PISTON SET,STD",sedang,rendah,mahal,critical,tidak laris
575,22100-60J00-000,"COVER ASSY,CLUTCH",sedang,rendah,mahal,slow,tidak laris
576,11620-63J00-000,"MOUNTING,ENG LH",sedang,tinggi,mahal,critical,laris
577,17570-86G00-000,"CAP,WATER OUTLET",sedang,tinggi,murah,slow,laris
578,17700-63J00-000,RADIATOR ASSY (M/T),dikit,rendah,mahal,critical,laris
579,17852-63J00-000,"HOSE,RADIATOR INLET",sedang,tinggi,murah,fast,laris
580,17871-63J00-000,"HOSE,HEATER INLET",banyak,tinggi,murah,fast,laris
581,42111-63J10-000,"STOPPER,FRONT BUMP",dikit,rendah,murah,slow,tidak laris
582,46221-63J00-000,"BUSHING,TRAILING ARM",sedang,rendah,mahal,critical,tidak laris
583,57420-63J00-000,"HINGE,FRONT HOOD,L",sedang,tinggi,murah,slow,laris
584,71751-63J10-5PK,"BEZEL,FRT FOG LAMP,R",sedang,tinggi,murah,slow,laris
585,71761-63J10-5PK,"BEZEL,FRT FOG LAMP LH",sedang,tinggi,murah,slow,laris
586,72321-63J10-000,"LINING,FR FENDER,R",banyak,tinggi,mahal,slow,tidak laris
587,72322-63J10-000,"LINING,FR FENDER,L",banyak,tinggi,mahal,slow,tidak laris
588,75511-63J00-000,"LINING,REAR FENDER, R",sedang,rendah,mahal,slow,tidak laris
