NO,PART_NO,SPAREPART,STOK,TERJUAL,HARGA,KATEGORI,KLASIFIKASI
267,25517-60B01-000,"SEAL,GEAR SHIFT OIL",Banyak,Tinggi,Murah,Fast,Laris
268,11910-60A03-000,"BUSH,TORQUE STOPPER",Sedang,Rendah,Mahal,Critical,Tidak Laris
269,73416-77501-000,"SPRING,GLOVE BOX LID LOCK",Sedang,Tinggi,Murah,Critical,Laris
270,49214-82C00-000,"HOSE,SUCTION",Banyak,Tinggi,Murah,Fast,Laris
271,48400-80250-5ES,"COVER SET,STEERING COLUMN",Dikit,Rendah,Mahal,Slow,Tidak Laris
272,12140-61G50-000,"RING SET,PISTON",Sedang,Tinggi,Murah,Critical,Laris
273,12140-61G50-025,"RING SET,PISTON,OS:0.25",Sedang,Tinggi,Mahal,Critical,Laris
274,12140-61G50-050,"RING SET,PISTON,OS:0.50",Sedang,Tinggi,Murah,Critical,Laris
275,13260-61BT0-000,SOLENOID SET,Dikit,Rendah,Mahal,Critical,Laris
276,58410-60A30-000,"HINGE,FRONT HOOD,L",Banyak,Rendah,Mahal,Slow,Tidak Laris
277,83791-83011-5ES,"GARNISH,FR DOOR TRIM UPPER,R",Sedang,Tinggi,Murah,Slow,Laris
278,83792-83011-5ES,"GARNISH,FR DOOR TRIM UPPER,L",Sedang,Rendah,Murah,Slow,Laris
279,48830-50G10-000,"TIE-ROD COMP,STEERING",Sedang,Rendah,Mahal,Critical,Tidak Laris
280,11610-58B10-000,"MOUNTING,ENG FRONT",Dikit,Rendah,Mahal,Critical,Laris
281,78470-50C00-000,FRAME TOP BOW,Dikit,Rendah,Mahal,Slow,Tidak Laris
282,09409-06309-5ES,CLIP(BLACK),Banyak,Tinggi,Murah,Slow,Laris
283,28231-60B10-000,"BUSH,CONT SHAFT",Sedang,Tinggi,Murah,Critical,Laris
284,82850-61A01-000,"HANDLE,BACK DOOR OUT",Banyak,Tinggi,Murah,Slow,Laris
285,13650-50G01-000,"SENSOR,WATER TEMP",Banyak,Tinggi,Mahal,Critical,Laris
286,22100-60G20-000,"COVER ASSY,CLUTCH",Sedang,Tinggi,Mahal,Slow,Laris
287,72381-60G00-000,"COVER,ENGINE UNDER,R",Sedang,Tinggi,Murah,Slow,Laris
288,17931-60G00-000,"TANK,WATER RESERVE",Banyak,Tinggi,Murah,Fast,Laris
289,84623-60G00-000,MOLDING BACK WINDOW UPPER,Sedang,Rendah,Mahal,Slow,Tidak Laris
290,37400-60G50-000,"SWITCH ASSY,COMB",Dikit,Rendah,Mahal,Slow,Tidak Laris
291,11610-60G10-000,"MOUNTING COMP,ENGINE,RH",Dikit,Rendah,Mahal,Critical,Laris
292,51220-50F00-000,"CAP,RESERVOIR",Sedang,Tinggi,Murah,Slow,Laris
293,11620-62G01-000,"MOUNTING COMP,ENGINE,LH",Sedang,Rendah,Mahal,Critical,Tidak Laris
294,54410-56B60-000,"CABLE COMP,PARKING BRAKE,R",Sedang,Rendah,Mahal,Critical,Tidak Laris
295,12610-61G00-000,"PULLEY,CRANKSHAFT",Sedang,Rendah,Mahal,Critical,Tidak Laris
296,46200-50830-000,"ARM SET,REAR SUSPENSION",Sedang,Rendah,Mahal,Critical,Tidak Laris
297,11710-62G00-000,"MOUNTING COMP,ENGINE,RR",Dikit,Rendah,Mahal,Critical,Laris
298,17561-63B01-000,"CAP,WATER THERMOSTAT",Sedang,Tinggi,Murah,Slow,Laris
299,11349-60A01-000,"GASKET,OIL SEAL HOUSING",Sedang,Tinggi,Murah,Critical,Laris
300,29610-82C01-000,"MOUNTING,T/F",Sedang,Rendah,Murah,Critical,Laris
301,23800-70810-000,PISTON & CUP SET,Sedang,Tinggi,Murah,Critical,Laris
302,09283-44011-000,"SEAL,OIL,44X62X8",Banyak,Tinggi,Murah,Fast,Laris
303,26130-60G00-000,"GEAR COMP,SPEEDOMETER DRIVEN",Sedang,Rendah,Mahal,Critical,Tidak Laris
304,43420-50820-000,"HUB SET,FRONT WHEEL",Dikit,Rendah,Mahal,Critical,Laris
305,45200-60830-000,"ARM SET,FR SPNSN RH",Dikit,Rendah,Mahal,Critical,Laris
306,72121-77501-27N,"GARNISH, HEAD LAMP LH",Dikit,Rendah,Mahal,Slow,Tidak Laris
307,26131-77510-000,"GEAR,SPEEDOMETER DRIVEN",Sedang,Tinggi,Murah,Critical,Laris
308,55840-64G00-000,PISTON/SEAL SET,Sedang,Tinggi,Murah,Critical,Laris
309,35121-77502-27N,"UNIT,HEADLAMP,RH",Dikit,Rendah,Mahal,Critical,Laris
310,35321-77502-27N,"UNIT,HEADLAMP,LH",Dikit,Rendah,Mahal,Critical,Laris
311,38720-75F30-000,"CONTROLLER ASSY,POWER STRG",Dikit,Rendah,Mahal,Critical,Laris
312,11710-75F00-000,"MOUNTING,ENGINE RR",Sedang,Tinggi,Murah,Critical,Laris
313,11875-54E00-000,"MOUNTING,T/M",Sedang,Rendah,Murah,Critical,Laris
314,15110-75FS0-000,PUMP/FILTER ASSY,Dikit,Rendah,Mahal,Critical,Laris
315,17561-60B61-000,"CAP,WATER THERMOSTAT",Banyak,Rendah,Murah,Slow,Tidak Laris
316,24240-64B00-000,GEAR INPUT SHAFT 4TH,Sedang,Tinggi,Mahal,Critical,Laris
317,39250-70B40-000,ANTENNA ASSY,Sedang,Tinggi,Mahal,Slow,Laris
318,41741-50E00-000,"BEARING,FRONT STRUT",Banyak,Rendah,Murah,Critical,Laris
319,48810-76G00-000,"END COMP,STEERING TIE-ROD",Sedang,Tinggi,Mahal,Critical,Laris
320,52241-84010-000,"PIN,SHOE HOLD DOWN",Sedang,Tinggi,Murah,Critical,Laris
1.039,55840-80J01-000,PISTON CUP&BOOT SET,Dikit,Rendah,Mahal,Critical,Laris
322,55192-75F00-000,"PIN,CYLINDER SLIDE,NO.2",Banyak,Tinggi,Murah,Critical,Laris
323,77191-50G00-000,SPRING FUEL INLET LID,Sedang,Tinggi,Murah,Critical,Laris
324,78163-50E00-000,END ROOF MOLDING RR L,Sedang,Tinggi,Murah,Slow,Laris
325,84611-75F00-000,MOLDING WINDSHIELD,Dikit,Rendah,Mahal,Slow,Tidak Laris
326,17852-60G10-000,"HOSE,RADIATOR,INLET",Banyak,Tinggi,Murah,Fast,Laris
327,33220-50G02-000,"SENSOR ASSY,CAM POSITION",Sedang,Tinggi,Mahal,Critical,Laris
328,72311-65G00-000,"LINNING,FRONT FENDER,R",Dikit,Rendah,Mahal,Slow,Tidak Laris
329,72316-65G00-000,"LINNING,FRONT FENDER L",Sedang,Rendah,Mahal,Slow,Tidak Laris
330,14182-64B03-000,"GASKET,EXH PIPE",Sedang,Tinggi,Murah,Critical,Laris
331,36210-50E61-6GS,"LAMP ASSY,ROOM(GRAY)",Banyak,Rendah,Mahal,Slow,Tidak Laris
332,09448-21005-000,SPRING,Sedang,Tinggi,Murah,Critical,Laris
333,17700-77E20-000,RADIATOR ASSY,Dikit,Rendah,Mahal,Critical,Laris
334,27431-60G10-000,"SEAL ,DIFF SIDE OIL",Banyak,Tinggi,Murah,Fast,Laris
335,27441-60G10-000,"SEAL ,DIFF SIDE R",Banyak,Tinggi,Murah,Fast,Laris
336,72831-65D10-000,"BRACKET,SPARE TIRE COVER",Banyak,Tinggi,Murah,Slow,Laris
337,35650-65D10-000,"LAMP UNIT,RR COMB,RH",Dikit,Rendah,Mahal,Slow,Tidak Laris
338,35670-65D10-000,"LAMP UNIT,RR COMB,LH",Dikit,Rendah,Mahal,Slow,Tidak Laris
339,49114-64G10-000,SEAL SET,Sedang,Tinggi,Murah,Fast,Laris
340,09159-12057-000,NUT,Banyak,Tinggi,Murah,Fast,Laris
341,09280-34005-000,"O RING,D:3.5,ID:33.7",Banyak,Tinggi,Murah,Fast,Laris
342,09283-28014-000,"SEAL,OIL,28X50X8",Banyak,Tinggi,Murah,Fast,Laris
343,09283-98002-000,"SEAL,OIL,98X116X10",Banyak,Tinggi,Murah,Fast,Laris
344,11146-85FA1-000,"BOLT,CYLINDER HEAD",Banyak,Tinggi,Murah,Critical,Laris
345,11188-85FA0-000,"WASHER,CYL HEAD COVER SEAL",Banyak,Tinggi,Murah,Critical,Laris
346,11189-77E00-000,"GASKET,CYLINDER HEAD COVER",Sedang,Tinggi,Murah,Critical,Laris
347,11610-65D00-000,"MOUNTING,ENGINE,FRONT",Sedang,Tinggi,Mahal,Critical,Laris
361,17530-77E00-000,"RING SET,PISTON,OS:0.50",Sedang,Tinggi,Mahal,Critical,Laris
349,12615-85FA0-000,"BOLT,CRANKSHAFT PULLEY",Sedang,Tinggi,Murah,Critical,Laris
350,12631-77E00-000,"SPROCKET,CRANKSHAFT TIMING",Sedang,Tinggi,Murah,Critical,Laris
351,12741-77E00-000,"SPROCKET,CAMSHAFT TIMING",Sedang,Tinggi,Murah,Critical,Laris
352,12762-77E00-000,"CHAIN COMP,TIMING,2ND",Banyak,Tinggi,Murah,Critical,Laris
353,12771-77E00-000,"GUIDE,TIMING CHAIN,NO.1",Banyak,Tinggi,Murah,Critical,Laris
354,12811-77E00-000,"TENSIONER,TIMING CHAIN",Banyak,Tinggi,Mahal,Critical,Laris
355,12835-77E00-000,"GASKET,TENSIONER ADJ,NO,2",Sedang,Tinggi,Murah,Critical,Laris
356,15910-60A03-000,"CABLE ASSY,ACCEL(RH)",Sedang,Tinggi,Murah,Critical,Laris
357,16100-65D00-000,"PUMP ASSY,OIL",Sedang,Rendah,Mahal,Critical,Tidak Laris
954,17530-82J00-000,"CHAIN,OIL PUMP DRIVE",Banyak,Rendah,Mahal,Critical,Tidak Laris
359,17110-65D00-000,"FAN,ENGINE COOLING",Banyak,Tinggi,Mahal,Critical,Laris
360,17511-77E00-000,"PULLEY,WATER PUMP",Sedang,Tinggi,Murah,Critical,Laris
896,42412-78K00-000,"PULLEY,GEN BELT IDLER",Dikit,Rendah,Mahal,Critical,Laris
362,17579-77EA0-000,"GASKET,WTR OUTLET CAP",Sedang,Rendah,Murah,Critical,Laris
363,17590-77EA1-000,"PIPE,WATER BYPASS",Banyak,Tinggi,Murah,Fast,Laris
610,12140-65J50-000,"SHROUD,FAN",Sedang,Rendah,Mahal,Critical,Tidak Laris
365,17841-77EA0-000,"HOSE,RADIATOR,INLET",Banyak,Rendah,Murah,Fast,Laris
366,17851-77EA0-000,"HOSE,RADIATOR,OUTLET",Banyak,Tinggi,Murah,Fast,Laris
367,17859-77EA1-000,"HOSE,WATER BYPASS",Banyak,Tinggi,Murah,Fast,Laris
368,17871-65D00-000,"HOSE,HEATER INLET",Banyak,Tinggi,Murah,Fast,Laris
369,17880-77EA2-000,"PIPE,HTR OUTLET",Banyak,Tinggi,Mahal,Fast,Laris
370,36232-65D00-000,"LENS,SPOT LAMP",Sedang,Rendah,Mahal,Slow,Tidak Laris
371,37990-65D20-T01,"SWITCH ASSY,POWER WINDOW,MA",Dikit,Rendah,Mahal,Slow,Tidak Laris
372,38330-65D10-000,"ARM ASSY,WIPER,LH",Sedang,Tinggi,Mahal,Slow,Laris
373,41601-65D10-000,"STRUT ASSY,FRONT SUSPENSION,R",Sedang,Rendah,Mahal,Critical,Tidak Laris
374,41602-65D10-000,"STRUT ASSY,FRONT SUSPENSION,L",Sedang,Rendah,Mahal,Critical,Tidak Laris
375,43485-65D00-000,"RING,RR WHEEL BRG RETAINER",Sedang,Tinggi,Murah,Critical,Laris
376,45261-65D01-000,"BUSHING,SPNSN ARM,FRONT",Banyak,Rendah,Murah,Critical,Laris
377,46300-65D00-000,"ROD ASSY,RR SPNSN,LATERAL",Sedang,Tinggi,Mahal,Critical,Laris
378,48575-65D00-000,"WIRE,RACK BOOT",Banyak,Tinggi,Murah,Fast,Laris
379,53231-65D00-000,"SPRING,SHOE RETURN,LOWER",Sedang,Tinggi,Murah,Critical,Laris
380,53243-65D00-000,"SPRING,SHOE HOLD DOWN",Sedang,Tinggi,Murah,Critical,Laris
381,53331-65D00-000,"SPRING,SHOE RETURN,UPPER",Sedang,Tinggi,Murah,Critical,Laris
382,53792-52D00-000,"SPRING,ANTIRATTLE,L",Sedang,Tinggi,Murah,Critical,Laris
383,53824-65D00-000,"SPRING,ADJUSTER",Banyak,Tinggi,Murah,Critical,Laris
384,55234-77E00-000,"LINER,PAD",Sedang,Rendah,Murah,Slow,Laris
385,72112-65D10-0PG,GARNISH FR GRILLE UPPER(CHROME),Sedang,Rendah,Mahal,Slow,Tidak Laris
386,72481-65D10-000,"LINING,FRONT FENDER R",Sedang,Rendah,Mahal,Slow,Tidak Laris
387,72482-65D10-000,LINING FRONT FENDER L,Dikit,Rendah,Mahal,Slow,Tidak Laris
388,73430-60870-T01,LOCK GLOVE BOX,Dikit,Rendah,Mahal,Slow,Tidak Laris
389,75521-65D10-000,"LINING, REAR WHEEL HSG, R",Sedang,Rendah,Mahal,Slow,Tidak Laris
390,75531-65DA0-000,"LINING, REAR WHEEL HOUSING, LH",Sedang,Rendah,Mahal,Slow,Tidak Laris
391,77312-65D00-000,"WEATHERSTRIP, COWL TOP",Sedang,Tinggi,Murah,Slow,Laris
392,77541-65D00-5PK,"MOLDING, ROOF DRIP, R",Sedang,Rendah,Mahal,Slow,Tidak Laris
393,77553-65D10-000,"CLIP, SPLASH GUARD",Sedang,Tinggi,Murah,Slow,Laris
394,78226-65D01-1YW,"CAP,ROOF RAIL FR L",Banyak,Tinggi,Mahal,Slow,Tidak Laris
395,83660-65D00-000,"RUN COMP, FR DOOR GLASS, R",Sedang,Rendah,Mahal,Slow,Tidak Laris
396,83680-65D00-000,"RUN COMP, FR DOOR GLASS, L",Sedang,Rendah,Mahal,Slow,Tidak Laris
397,83810-65D00-000,"WEATHERSTRIP COMP, FR DR OUT, R",Sedang,Rendah,Mahal,Slow,Tidak Laris
398,83820-65D00-000,"WEATHERSTRIP COMP, FR DR OUT, L",Sedang,Rendah,Mahal,Slow,Tidak Laris
399,83830-65D00-000,"WEATHERSTRIP COMP, RR DR OUT, R",Banyak,Rendah,Mahal,Slow,Tidak Laris
400,83840-65D00-000,"WEATHERSTRIP COMP, RR DR OUT, L",Sedang,Tinggi,Mahal,Slow,Laris
401,84611-65D00-5PK,MOLDING WINDSHIELD,Dikit,Rendah,Mahal,Slow,Tidak Laris
402,89311-65DA0-000,"PROTECTOR,FILLER HOSE",Sedang,Rendah,Mahal,Slow,Tidak Laris
403,33278-77E10-000,O RING,Banyak,Tinggi,Murah,Fast,Laris
404,43420-77810-000,"HUB SET,FRONT WHEEL",Dikit,Rendah,Mahal,Critical,Laris
405,11710-77E11-000,"MOUNTING,ENG,RR",Sedang,Tinggi,Mahal,Critical,Laris
406,24971-57B00-000,"KEY,WOODRUFF",Dikit,Rendah,Murah,Slow,Laris
407,29799-54D10-000,"SEAL,OIL PUMP BODY",Banyak,Tinggi,Murah,Fast,Laris
408,12631-86510-000,"PULLEY,CRANK TIMING BELT",Sedang,Tinggi,Murah,Critical,Laris
409,56451-65D00-000,"RING,REAR WHEEL SENSOR",Sedang,Tinggi,Murah,Critical,Laris
410,71711-65D00-799,BUMPER FRT,Dikit,Rendah,Mahal,Slow,Tidak Laris
411,36210-60G01-6GS,"LAMP ASSY,ROOM(GRAY)",Banyak,Tinggi,Mahal,Slow,Tidak Laris
412,41710-54G10-000,"SUPPORT COMP,FRONT STRUT",Dikit,Rendah,Mahal,Critical,Laris
413,77811-75F01-0PG,EMBLEM S MARK,Sedang,Rendah,Murah,Slow,Laris
414,77811-60G01-0PG,EMBLEM S MARK,Sedang,Rendah,Murah,Slow,Laris
415,13780-75F00-000,"ELEMENT,AIR CLEANER",Banyak,Tinggi,Murah,Fast,Laris
416,11710-80011-000,"MOUNTING,ENG RR",Banyak,Tinggi,Murah,Critical,Laris
417,12151-60D00-000,"PIN,PISTON",Sedang,Tinggi,Murah,Critical,Laris
418,48534-50F00-000,"PLUNGER,STEERING RACK",Sedang,Rendah,Murah,Critical,Laris
419,44220-73AV0-000,"SHAFT ASSY,REAR AXLE,L",Dikit,Rendah,Mahal,Critical,Laris
420,42412-65D00-000,"BUSHING,STAB BAR MOUNT",Sedang,Tinggi,Murah,Critical,Laris
421,55201-56B01-000,"BOOT,PIN",Sedang,Tinggi,Murah,Critical,Laris
422,11402-61872-000,"GASKET SET,ENGINE",Dikit,Rendah,Mahal,Critical,Laris
423,35120-54G10-000,"UNIT,HEADLAMP,R",Dikit,Rendah,Mahal,Critical,Laris
424,35320-54G10-000,"UNIT,HEADLAMP,L",Sedang,Rendah,Mahal,Critical,Tidak Laris
425,35650-54G00-000,"LAMP UNIT,RR COMB,R",Dikit,Rendah,Mahal,Slow,Tidak Laris
426,35670-54G00-000,"LAMP UNIT,RR COMB,L",Dikit,Rendah,Mahal,Slow,Tidak Laris
427,71711-54G00-799,BUMPER FRONT,Dikit,Rendah,Mahal,Slow,Tidak Laris
428,71811-54G00-799,BUMPER REAR,Dikit,Rendah,Mahal,Slow,Tidak Laris
429,83401-54G20-000,REGULATOR ASSY FR W/D R,Sedang,Rendah,Mahal,Critical,Tidak Laris
430,44210-73AV0-000,"SHAFT ASSY,REAR AXLE,R",Dikit,Rendah,Mahal,Critical,Laris
431,17559-73010-000,"GASKET,WATER INLET",Sedang,Tinggi,Murah,Critical,Laris
432,27431-73H30-000,SEAL OIL,Banyak,Tinggi,Murah,Fast,Laris
433,83811-54G00-000,WEATHERSTRIP FR DOOR RH,Sedang,Tinggi,Mahal,Slow,Laris
434,11710-65G50-000,"MOUNTING,ENGINE RR",Dikit,Rendah,Mahal,Critical,Laris
321,52400-84811-000,"RING SET,PISTON(STD)",Sedang,Rendah,Mahal,Critical,Tidak Laris
436,12221-69GA0-000,CRANKSHAFT,Dikit,Rendah,Mahal,Critical,Laris
437,83821-54G00-000,WEATHERSTRIP FR DOOR LH,Sedang,Rendah,Mahal,Slow,Tidak Laris
438,09283-83001-000,"SEAL,OIL,83X103X8",Banyak,Tinggi,Murah,Fast,Laris
439,37990-54G11-P4Z,"SWITCH ASSY,P/W MAIN(GRAY)",Dikit,Rendah,Mahal,Slow,Tidak Laris
440,45540-54G00-000,"BUSHING,SPNSN ARM,REAR",Banyak,Tinggi,Murah,Critical,Laris
441,77811-54G10-GB2,EMBLEM MARK S,Sedang,Rendah,Murah,Slow,Laris
442,77821-54G00-0PG,EMBLEM AERIO (CHROME),Dikit,Rendah,Murah,Slow,Laris
443,09112-08004-000,"BOLT,8X25",Banyak,Tinggi,Murah,Critical,Laris
444,11620-54G11-000,"MOUNTING,ENGINE LH",Sedang,Tinggi,Mahal,Critical,Laris
445,12610-69G00-000,"PULLEY COMP,CRANKSHAFT",Sedang,Tinggi,Mahal,Critical,Laris
446,48526-54G00-000,"MOUNT,STEERING RACK SIDE",Sedang,Tinggi,Murah,Critical,Laris
572,12100-54812-050,"TIE-ROD COMP,STEERING",Sedang,Rendah,Mahal,Critical,Tidak Laris
448,49140-54G00-000,"TANK ASSY,POWER STEERING",Sedang,Tinggi,Mahal,Critical,Laris
449,49222-54G70-000,"HOSE,SUCTION",Sedang,Rendah,Murah,Fast,Laris
450,49223-54G10-000,"HOSE,RETURN GEAR SIDE",Sedang,Tinggi,Mahal,Fast,Laris
451,84512-54G00-000,MOLDINGWINDSHIELD,Sedang,Tinggi,Mahal,Slow,Laris
452,38480-54G00-000,"NOZZLE,WASHER",Banyak,Rendah,Murah,Fast,Laris
453,56210-54G00-000,"SENSOR COMP,FR WHEEL,R",Sedang,Tinggi,Mahal,Critical,Laris
454,56310-54G00-000,"SENSOR,RR WHEEL,R",Sedang,Rendah,Mahal,Critical,Tidak Laris
455,64850-55G00-000,"DOOR COMP, FUEL FILLER",Sedang,Rendah,Murah,Slow,Laris
456,09471-12195-000,"BULB,12V5W",Banyak,Tinggi,Murah,Fast,Laris
457,17581-69G00-000,"CAP,WATER OUTLET",Dikit,Rendah,Murah,Slow,Laris
458,23260-75C01-000,"SHAFT COMP,CLUTCH RELEASE",Banyak,Tinggi,Murah,Critical,Laris
459,26543-55GT0-000,"PISTON SET,C-2 ACCUMULATOR",Sedang,Tinggi,Murah,Critical,Laris
565,48550-70B10-000,BEARING DRIVE INTERMEDIATE,Sedang,Tinggi,Mahal,Critical,Laris
461,35118-76F00-000,"SOCKET,POSITION LAMP",Banyak,Tinggi,Murah,Fast,Laris
462,37111-54G00-000,SWITCH ASSY,Sedang,Rendah,Mahal,Slow,Tidak Laris
463,37670-76G00-000,"SWITCH ASSY,DOOR",Sedang,Tinggi,Murah,Slow,Laris
464,55191-78A00-000,"PIN,CYLINDER SLIDE",Sedang,Tinggi,Murah,Critical,Laris
465,72381-54G02-000,COVER ENGINE UNDER R,Banyak,Tinggi,Murah,Slow,Laris
466,72382-54G11-000,COVER ENGINE UNDER L,Sedang,Tinggi,Murah,Slow,Laris
467,83831-54G00-000,WEASTHERSTRIP RR DOOR OUTER R,Sedang,Rendah,Mahal,Slow,Tidak Laris
468,83841-54G00-000,WEATHERSTRIP RR DOOR OUTER L,Sedang,Rendah,Mahal,Slow,Tidak Laris
469,65100-57820-000,PANEL SET ROOF,Dikit,Rendah,Mahal,Slow,Tidak Laris
470,58410-65D10-000,"HINGE COMP,FRONT HOOD,R",Banyak,Tinggi,Mahal,Slow,Tidak Laris
471,11100-52G01-000,"HEAD ASSY,CYLINDER",Dikit,Rendah,Mahal,Critical,Laris
472,71711-65DD1-799,BUMPER FR (PRIMARY),Dikit,Rendah,Mahal,Slow,Tidak Laris
473,11141-86FA1-000,"GASKET,CYLINDER HEAD RH",Dikit,Rendah,Mahal,Critical,Laris
474,11142-86FA1-000,"GASKET,CYLINDER HEAD LH",Sedang,Rendah,Mahal,Critical,Tidak Laris
475,78132-54G00-5PK,CAP FRT MOLDING,Sedang,Tinggi,Murah,Slow,Laris
476,12631-67D00-000,"SPROCKET,CRANKSHAFT TIMING",Sedang,Tinggi,Mahal,Critical,Laris
477,12632-67D00-000,"SPROCKET,OIL PUMP DRIVE",Sedang,Tinggi,Murah,Critical,Laris
478,12742-85FA0-000,"SPROCKET,CAMSHAFT TIMING,LH",Dikit,Rendah,Mahal,Critical,Laris
479,12745-85FA0-000,"SPROCKET COMP,IDLER,NO.1",Sedang,Rendah,Mahal,Critical,Tidak Laris
480,12762-85FA0-000,"CHAIN COMP,TIMING 2ND,RH",Sedang,Tinggi,Mahal,Critical,Laris
481,12774-85FA1-000,"GUIDE,TIMING CHAIN,NO.4",Sedang,Tinggi,Murah,Critical,Laris
482,13119-77E00-000,"GASKET,INTAKE MANIFOLD",Banyak,Tinggi,Murah,Critical,Laris
483,13122-67D00-000,"GASKET,COLLECTOR",Sedang,Tinggi,Murah,Critical,Laris
484,13421-77E00-000,"GASKET,THROTTLE BODY",Sedang,Tinggi,Murah,Critical,Laris
485,16760-85FA0-000,"CHAIN COMP,OIL PUMP DRIVE",Sedang,Tinggi,Murah,Critical,Laris
486,17858-77E00-000,"HOSE,WATER HEAD,L",Banyak,Tinggi,Murah,Fast,Laris
487,17871-67D20-000,"HOSE,HEATER INLET",Banyak,Tinggi,Murah,Fast,Laris
488,18134-67D00-000,"GASKET,IAC VALVE",Sedang,Tinggi,Murah,Critical,Laris
857,48541-82H10-000,"RING SET,O/P SEAL",Sedang,Rendah,Mahal,Critical,Tidak Laris
490,22931-52D10-000,"HOSE,OIL",Banyak,Tinggi,Murah,Fast,Laris
491,24114-65DU0-000,"DISK SET,O/D BRAKE",Dikit,Rendah,Mahal,Critical,Laris
492,24751-67D11-000,"CABLE ASSY,THROTTLE",Sedang,Rendah,Mahal,Critical,Tidak Laris
493,24771-65D00-000,"HOSE,BREATHER T/M",Banyak,Tinggi,Murah,Fast,Laris
494,26522-52D10-000,"PLATE,SEPARATOR",Sedang,Rendah,Mahal,Critical,Tidak Laris
495,26587-57B00-000,"GASKET,LWR VALVE BODY PLATE",Sedang,Tinggi,Murah,Critical,Laris
496,26591-57B00-000,"SOLENOID,T/M NO.1",Dikit,Rendah,Mahal,Critical,Laris
497,26632-57BT1-000,"O-RING SET,DIRECT CL",Banyak,Tinggi,Murah,Fast,Laris
498,29731-57BT0-000,"O-RING,FORWARD CL ACC PSTN",Banyak,Tinggi,Murah,Fast,Laris
499,29742-65DT0-000,"O-RING SET,B2 BRAKE PISTON",Banyak,Tinggi,Murah,Fast,Laris
500,29743-65DT0-000,"O-RING SET,B1 BRAKE PISTON",Banyak,Tinggi,Murah,Fast,Laris
501,42110-52D00-000,"STOPPER,BUMP",Banyak,Rendah,Murah,Slow,Tidak Laris
502,43592-52D00-000,"SEAL,RR SHAFT OIL,INNER",Banyak,Tinggi,Murah,Fast,Laris
503,49100-52D00-000,"PUMP ASSY,POWER STEERING",Dikit,Rendah,Mahal,Critical,Laris
504,36210-60G01-R8H,"LAMP ASSY,ROOM",Sedang,Tinggi,Mahal,Slow,Laris
505,36717-50J00-000,"COVER,FUSE BOX",Banyak,Tinggi,Murah,Slow,Laris
506,38410-65D00-000,"PUMP ASSY,WASHER FRONT",Sedang,Tinggi,Mahal,Critical,Laris
783,11710-80J10-000,"RELAY,TURN SIGNAL",Sedang,Rendah,Mahal,Critical,Tidak Laris
508,49225-65D10-000,"CLAMP,RETURN GEAR SIDE",Sedang,Rendah,Murah,Slow,Laris
509,53711-52D00-000,"LINK ASSY,R",Sedang,Tinggi,Murah,Critical,Laris
510,56310-52D00-000,"SENSOR,RR WHEEL",Dikit,Rendah,Mahal,Critical,Laris
511,73430-50810-R8H,"LOCK ASSY,GLOVE BOX",Sedang,Rendah,Mahal,Slow,Tidak Laris
512,76411-50E00-R8H,GRIP ASSISTANT,Sedang,Rendah,Murah,Slow,Laris
513,77842-65DA1-0PG,DECAL V6,Banyak,Rendah,Murah,Slow,Tidak Laris
514,82850-65D00-5PK,HANDLE BACK DOOR OUTER,Sedang,Rendah,Murah,Slow,Laris
515,12610-77E12-000,"PULLEY,CRANKSHAFT",Dikit,Rendah,Mahal,Critical,Laris
516,12630-57B01-000,"PULLEY,CRANK TIMING BELT",Sedang,Tinggi,Murah,Critical,Laris
517,53200-76G31-000,"SHOE SET,BRAKE",Sedang,Rendah,Mahal,Critical,Tidak Laris
518,13881-66D00-000,"HOSE,AIR CLEANER,OUTLET",Sedang,Tinggi,Mahal,Fast,Laris
519,17550-66D00-000,"PIPE,WATER INLET",Sedang,Tinggi,Mahal,Fast,Laris
520,17841-66D00-000,"HOSE,RADIATOR INLET",Banyak,Tinggi,Murah,Fast,Laris
521,17851-66D00-000,"HOSE,RADIATOR OUTLET",Banyak,Tinggi,Murah,Fast,Laris
522,28136-65D01-000,BOOT GEAR SHT CONT LEVER NO.2,Banyak,Rendah,Murah,Slow,Tidak Laris
523,49230-65D00-000,"HOSE,PRESSURE,PUMP SIDE",Sedang,Tinggi,Mahal,Fast,Laris
524,71811-55G01-799,RR BUMPER (PRIMARY),Dikit,Rendah,Mahal,Slow,Tidak Laris
525,73821-50J00-ZS4,GARNISH I/P CENTRE,Sedang,Tinggi,Mahal,Slow,Laris
526,11400-65851-000,"GASKET SET,ENGINE",Sedang,Tinggi,Mahal,Critical,Laris
527,38451-54G01-000,"CAP ASSY,TANK",Sedang,Rendah,Murah,Slow,Laris
668,34810-65J00-000,"CHAIN,TIMING 1ST",Sedang,Rendah,Mahal,Critical,Tidak Laris
529,09283-45012-000,"SEAL,OIL,45X63X7.5",Banyak,Tinggi,Murah,Fast,Laris
530,23211-85F01-000,"FORK,CLUTCH RELEASE",Banyak,Tinggi,Murah,Critical,Laris
531,23850-67D01-000,"HOSE COMP,CLUTCH OIL",Banyak,Tinggi,Mahal,Fast,Laris
532,37990-75F21-T01,"SWITCH ASSY,P/W MAIN(GRAY)",Dikit,Rendah,Mahal,Slow,Tidak Laris
533,71700-56811-5PK,BUMPER SET FR (BLK),Dikit,Rendah,Mahal,Slow,Tidak Laris
